店名,地址
桃園中埔六店,330 桃園市桃園區中埔六街127號
八里商港店,249 新北市八里區商港七路21號1樓
"土城廣明店
24h",236 新北市土城區廣明街63巷31號1F
"高雄九如1店
24h",807 高雄市三民區九如一路886號
新仁店,717 台南市仁德區大同路三段755號
新楠店,811 高雄市楠梓區土庫一路 60 號
北港店,651 雲林縣北港鎮華南路101號
新屏店,900 屏東縣屏東市台糖街3號
西屯店,407 台中市西屯區台灣大道四段1086號
"土城中央店
24h",236 新北市土城區中央路二段191號B1
"大安臨江店
24h",106 台北市大安區臨江街87號B1
"鳳山甲1店
24h",830 高雄市鳳山區和興里五甲一路261號
"台中水湳店
24h",406 台中市北屯區中清路二段165號
"小港漢民店
24h",812 高雄市小港區漢民路798號
"三重新北大道店
24h",241 新北市三重區新北市三重區新北大道一段115號B1
"台中復興店
24h",402 台中市南區復興路二段120號
中壢成章1店,320 桃園市中壢區成章一街88號
"高雄天祥店
24h",807 高雄市三民區天祥一路102號
"內湖江南店
24h",114 台北市內湖區江南街55號
北投明德店,112 台北市北投區明德路161號B1樓
"左營崇德店
24h",813 高雄市左營區高雄市左營區崇德路360號
"內湖成功店
24h",114 台北市內湖區成功路三段174巷8號B1
台中大里中興店,412 台中市大里區中興路二段550號
金門店,892 金門縣金寧鄉伯玉路二段223號
"太平環中店
24h",411 台中市太平區環中東路三段567號
"台北錦州店
24h",104 台北市中山區錦州街276號
土城日月光店,236 新北市土城區學府路二段210號B2樓
台南中華西店,700 台南市中西區中華西路二段502號
"桃園中正店
24h",330 桃園市桃園區中正路836號
"桃園大興店
24h",330 桃園市桃園區大興路1號
"板橋文化店
24h",220 新北市板橋區文化路二段313號B1
"台北內湖1店
24h",114 台北市內湖區內湖路一段155號
台中大墩11店,408 台中市南屯區大墩十一街730號
"台中進化店
24h",404 台中市北區台中市北區進化路379號
"新莊中港店
24h",248 新北市新莊區中港路336號
士林忠誠店,111 台北市士林區忠誠路二段188號
"台北濟南店
24h",100 台北市中正區濟南路2段46號B1
"蘆洲光華店
24h",247 新北市蘆洲區光華路200號
"台南裕農店
24h",701 台南市東區裕農路766號
"新竹南大店
24h",300 新竹市東區南大路286號
"大甲蔣公店
24h",437 台中市大甲區蔣公路295號
"桃園龍安店
24h",330 桃園市桃園區龍安街137號
"內湖東湖店
24h",114 台北市內湖區東湖路69號B1
"屏東自由店
24h",900 屏東縣屏東市自由路618號
"台中興安店
24h",406 台中市北屯區平田里13鄰興安路一段288號
"左營南屏店
24h",813 高雄市左營區南屏路369號
台南北安店,704 台南市北區北安路一段167號
"左營重和店
24h",813 高雄市左營區文川路323號
"中壢中北店
24h",320 桃園市中壢區中北路111號
八德店,334 桃園市八德區介壽路一段728號B2
"台南開元店
24h",704 台南市北區開元路501號
"板橋中正店
24h",220 新北市板橋區中正路302號
"三民建工店
24h",807 高雄市三民區建工路497號
高雄鼎金店,807 高雄市三民區鼎山街259號
"左營自由2店
24h",813 高雄市左營區自由二路150號
"土城福益店
24h",236 新北市土城區明德路一段67號
"永和永安店
24h",234 新北市永和區中和路499-1號
北大店,238 新北市樹林區大雅路288號B1
"府中店
24h",220 新北市板橋區府中路 126 號 1 樓
林口店,244 新北市林口區文化二路一段 559 號 B1
"新店店
24h",231 新北市新店區中興路三段1號
樹林店,238 新北市樹林區大安路118號
土城店,236 新北市土城區青雲路152號B1
中和店,235 新北市中和區中山路二段295號B1
板橋店,220 新北市板橋區三民路二段31號B1
"景安店
24h",235 新北市中和區景平路353號B1
中平店,248 新北市新莊區中平路108號B1
"蘆洲店
24h",241 新北市三重區五華街282號
重新店,241 新北市三重區重新路五段654號
汐科店,221 新北市汐止區新台五路一段99號B1
"安平店
24h",700 台南市中西區中華西路2段16號
