"Name","No","District","Address","Telephone","Division1","Division2","Division3","Division4","Division5","Division6","Division7","Division8","Division9","Division10","Division11","Division12","Division13","Division14","Division15","Division16","Division17","Division18","Division19","Division20","Division21","Division22","Division23","Division24","Division25","Division26","Division27","Division28","Division29","Division30","Division31","Remark","twd97X","twd97Y","wgs84aX","wgs84aY"
"國立臺灣大學醫學院附設醫院金山分院","4.31270012E8","金山區","新北市金山區五湖里玉爐路7號","02-24989898","Y","Y","Y","0.0","Y","0.0","Y","0.0","Y","0.0","0.0","0.0","Y","0.0","Y","Y","Y","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","Y","313312.75","2790234.64","121.62834400","25.21946900"
"醫療財團法人徐元智先生醫藥基金會亞東紀念醫院","1.131010011E9","板橋區","新北市板橋區南雅南路二段21號及高爾富路300號","02-89667000","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","0.0","Y","Y","Y","Y","Y","Y","295657.65","2765556.15","121.45231100","24.99731300"
"板橋中興醫院","1.531010279E9","板橋區","新北市板橋區忠孝路十五號","02-29531919","Y","Y","Y","0.0","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","296461.46","2766076.63","121.46029200","25.00198700"
"板橋國泰醫院","1.53101131E9","板橋區","新北市板橋區忠孝路五、七、九、十一號一至三樓。","02-29583333","Y","Y","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","296440.59","2766073","121.46008500","25.00195500"
"板新醫院","1.531010082E9","板橋區","新北市板橋區中正路１８９號","02-29609955","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","296066.49","2767722.3","121.45643400","25.01685700"
"中英醫療社團法人板英醫院","9.31010025E8","板橋區","新北市板橋區文化路1段267、269、271號1-4樓","02-82513923","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","296893.92","2767908.89","121.46463800","25.01851600"
"中英醫療社團法人中英醫院","9.31010016E8","板橋區","新北市板橋區文化路一段192之1號1樓、194號1至4樓、196號1至4樓、198號1至4樓、200號1至4樓、202號1至4樓、204號1至4樓","02-22563584","0.0","Y","Y","0.0","0.0","0.0","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","Y","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","297053.04","2768054.74","121.46622000","25.01982800"
"蕭中正醫院","1.531010108E9","板橋區","新北市板橋區南雅南路一段15號之1、17號、19號(1、2、3、4樓)","02-29687095","Y","Y","0.0","0.0","0.0","Y","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","296073.94","2766627.13","121.45647100","25.00696900"
"國泰醫療財團法人汐止國泰綜合醫院","1.131110516E9","汐止區","新北市汐止區建成路59巷2號地下4樓至地上12樓","02-26482121","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","Y","Y","0.0","Y","316691.4","2774012.12","121.66108400","25.07287200"
"瑞芳礦工醫院","1.531120038E9","瑞芳區","新北市瑞芳區一坑路71之2號","02-24974101","0.0","Y","Y","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","330901.38","2778046.96","121.80216900","25.10860200"
"佛教慈濟醫療財團法人台北慈濟醫院","1.131050515E9","新店區","新北市新店區建國路277號地上1、3、4樓及289號地下1至3樓至地上1至15樓","02-66289779","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","0.0","0.0","Y","Y","Y","Y","Y","Y","304072.38","2764126.36","121.53561400","24.98412800"
"宏慈療養院","1.531050086E9","新店區","新北市新店區安泰路１５７號","02-22151177","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","299288.34","2759070.13","121.48804700","24.93864300"
"新北仁康醫院","1.531051127E9","新店區","新北市新店區安康路2段323號地上1至2樓","02-22152345","Y","Y","Y","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","300453.32","2760946.14","121.49965100","24.95554100"
"同仁醫院","1.531050077E9","新店區","新北市新店區民權路８９號","02-29170201","0.0","Y","Y","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","Y","304288.1","2763976.4","121.53774500","24.98276600"
