"id","city","zone","district","name","alias","types","birthday","phone","fax","postalCode","address","mail","homePage","enabled","twd97X","twd97Y","wgs84aX","wgs84aY"
"014766","新北市","板橋分區","板橋區","新北市板橋區中山國民小學","中山國小","國小,幼兒園,一般,公立","1957-08-01T00:00:00","02-22755313#223","02-22755885","220","新北市板橋區大觀路二段59巷31號","ktai58@gmail.com","http://www.jshps.ntpc.edu.tw/default_page.asp","true","295188.97","2766107.4","121.44768600","25.00230400"
"011XM1","新北市","板橋分區","土城區","新北市私立森林幼兒園","森林幼兒園","一般,幼兒園,私立","2048-12-12T00:00:00","","","","","","","true","","","",""
"011X82","新北市","雙和分區","永和區","新北市私立秀明幼兒園","私立秀明幼兒園","幼兒園,一般,私立","2048-12-12T00:00:00","(02)29435335","","234","新北市永和區民權路1巷24.26號","","","true","302648","2765670.53","121.52156400","24.99811900"
"014767","新北市","三鶯分區","樹林區","新北市樹林區三多國民小學","三多國小","國小,幼兒園,一般,公立","1988-01-01T00:00:00","02-26880698","02-26886461","238","新北市樹林區三福街52號","office142@mail.sdes.ntpc.edu.tw","http://www.sdes.ntpc.edu.tw/","true","291020.48","2767651.59","121.40643600","25.01636300"
"011X84","新北市","雙和分區","永和區","新北市私立嘉樂幼兒園","私立嘉樂幼兒園","幼兒園,一般,私立","2048-12-12T00:00:00","(02)29249819","","234","新北市永和區中和路501巷17號","","","true","301510.41","2766205.93","121.51031500","25.00299200"
"011XM9","新北市","板橋分區","土城區","新北市私立米亞藝術幼兒園","米亞藝術幼兒園","一般,幼兒園,私立","2048-12-12T00:00:00","","","","","","","true","","","",""
"014768","新北市","板橋分區","板橋區","新北市板橋區實踐國民小學","實踐國小","國小,幼兒園,一般,公立","1988-01-01T00:00:00","02-29531233#143","02-29584089","220","新北市板橋區實踐路93巷51號","jasmine1101@ntpc.edu.tw","https://www.sjps.ntpc.edu.tw","true","297076.07","2766414.32","121.46639200","25.00501700"
"011X86","新北市","文山分區","新店區","新北市私立三愛幼兒園","私立三愛幼兒園","幼兒園,一般,私立","2014-01-01T00:00:00","02-22113062","02-86663205","231","新北市新店區安民街269巷14號1樓","san.ai@msa.hinet.net","","true","302153.48","2762909.22","121.51656100","24.97320700"
"011XMA","新北市","板橋分區","土城區","新北市私立奇士華幼兒園","奇士華幼兒園","一般,幼兒園,私立","2048-12-12T00:00:00","","","","","","","true","","","",""
"014769","新北市","板橋分區","板橋區","新北市板橋區大觀國民小學","大觀國小","國小,幼兒園,一般,公立","1989-01-01T00:00:00","02-29603373#806","02-29683201","220","新北市板橋區大觀路一段30號","tgpsadm@gmail.com","http://www.tgps.ntpc.edu.tw","true","295354.49","2766806.47","121.44934900","25.00861000"
"011X87","新北市","文山分區","新店區","私立偉智幼兒園","私立偉智幼兒園","幼兒園,一般,私立","2048-12-12T00:00:00","(02)29156878","","231","新北市新店區永業路81巷25號","","","true","303617","2760214.86","121.53095200","24.94883100"
"011XMB","新北市","板橋分區","土城區","新北市私立欣和幼兒園","欣和幼兒園","一般,幼兒園,私立","2048-12-12T00:00:00","","","","","","","true","","","",""
"014770","新北市","板橋分區","板橋區","新北市板橋區溪洲國民小學","溪洲國小","國小,幼兒園,一般,公立","1989-01-01T00:00:00","02-26867705#54","02-26834686","220","新北市板橋區金門街289號","mis@mail.sips.ntpc.edu.tw","https://www.sips.ntpc.edu.tw","true","293498.04","2764442.56","121.43088200","24.98732300"
"011X88","新北市","文山分區","新店區","私立三民幼兒園","私立三民幼兒園","幼兒園,一般,私立","2048-12-12T00:00:00","(02)29151151","","231","新北市新店區民權路11巷3號","","","true","304768.95","2763959.04","121.54250700","24.98259200"
"011XMC","新北市","板橋分區","土城區","新北市私立肯恩土城幼兒園","肯恩土城幼兒園","一般,幼兒園,私立","2048-12-12T00:00:00","","","","","","","true","","","",""
"011X91","新北市","文山分區","新店區","新北市私立佳恩幼兒園","私立佳恩幼兒園","幼兒園,一般,私立","2048-12-12T00:00:00","(02)29114466","","231","新北市新店區德正街27巷29弄8號","","","true","305112.29","2762758.94","121.54586000","24.97174500"
"014771","新北市","板橋分區","板橋區","新北市板橋區信義國民小學","信義國小","國小,幼兒園,一般,公立","1989-01-01T00:00:00","02-89667817#181","02-89661986","220","新北市板橋區四川路二段245巷60號","AK6040@ntpc.gov.tw","http://www.thyes.ntpc.edu.tw","true","295710.27","2764938.61","121.45281200","24.99173600"
"011XME","新北市","板橋分區","土城區","新北市私立詠樂幼兒園","詠樂幼兒園","一般,幼兒園,私立","2048-12-12T00:00:00","","","","","","","true","","","",""
"011X92","新北市","文山分區","新店區","財團法人天主教新北市私立育新幼兒園","育新幼兒園","幼兒園,一般,私立","2048-12-12T00:00:00","(02)29158300#101","","231","新北市新店區三民路19號","","","true","304461.13","2762751.64","121.53941100","24.97170300"
"014772","新北市","板橋分區","板橋區","新北市板橋區重慶國民小學","重慶國小","國小,幼兒園,一般,公立","1989-01-01T00:00:00","02-29565592","02-29553562","220","新北市板橋區廣和街31號","cyc1013@apps.ntpc.edu.tw","http://www.cges.ntpc.edu.tw","true","296679.38","2765242.78","121.46242200","24.99445300"
"014773","新北市","板橋分區","土城區","新北市土城區樂利國民小學","樂利國小","一般,國小,幼兒園,公立","1989-01-01T00:00:00","02-22662568#872","02-22662556","23660","新北市土城區裕生路65號","mis@llps.ntpc.edu.tw","https://www.llps.ntpc.edu.tw/","true","295182.2","2764257.33","121.44755900","24.98560100"
"011XMF","新北市","板橋分區","土城區","新北市私立安和幼兒園","安和幼兒園","一般,幼兒園,私立","2048-12-12T00:00:00","","","","","","","true","","","",""
